sigma,scale,samples,guard,method,trials,reachable_rate,overall_success,future_success,current_success,detects_unreachable,false_certificate,mean_norm,mean_min_margin,mean_rank,mean_null_dim
0.1,0.75,8,0.0,estimated,32,1.0,0.71875,0.71875,0.9375,0.0,0.21875,0.8978182228830018,0.01719423353657132,3.0,0.0
0.1,0.75,8,0.5,guard_0.5,32,1.0,0.8125,0.8125,0.90625,0.0,0.09375,0.9964652999048208,0.042707259527488904,3.0,0.0
0.1,0.75,8,1.0,guard_1.0,32,1.0,0.8125,0.8125,0.90625,0.0,0.09375,1.1650687281238017,0.09008040775884808,3.0,0.0
0.1,0.75,32,0.0,estimated,32,1.0,0.9375,0.9375,1.0,0.0,0.0625,0.7894542027278837,0.05803283295379236,3.0,0.0
0.1,0.75,32,0.5,guard_0.5,32,1.0,0.9375,0.9375,1.0,0.0,0.0625,0.855300874803909,0.08021237193625702,3.0,0.0
0.1,0.75,32,1.0,guard_1.0,32,1.0,0.9375,0.9375,1.0,0.0,0.0625,0.9259637536168153,0.10521447836047139,3.0,0.0
0.1,0.75,128,0.0,estimated,32,1.0,1.0,1.0,1.0,0.0,0.0,0.7753685828299728,0.06752072026974534,3.0,0.0
0.1,0.75,128,0.5,guard_0.5,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8097032144399433,0.07942499612574902,3.0,0.0
0.1,0.75,128,1.0,guard_1.0,32,1.0,1.0,1.0,1.0,0.0,0.0,0.8455538676029937,0.09358513717251257,3.0,0.0
0.1,1.0,8,0.0,estimated,32,1.0,0.40625,0.40625,0.84375,0.0,0.59375,0.6787452069461426,-0.011335153314820906,3.0,0.0
0.1,1.0,8,0.5,guard_0.5,32,1.0,0.75,0.75,0.9375,0.0,0.25,0.8079062522589582,0.029525989839842427,3.0,0.0
0.1,1.0,8,1.0,guard_1.0,32,1.0,0.84375,0.84375,0.96875,0.0,0.15625,0.9469785761587437,0.07241974912099025,3.0,0.0
0.1,1.0,32,0.0,estimated,32,1.0,0.34375,0.34375,1.0,0.0,0.65625,0.6274619067319356,-0.010864136282600656,3.0,0.0
0.1,1.0,32,0.5,guard_0.5,32,1.0,0.71875,0.71875,1.0,0.0,0.28125,0.6863724898389598,0.014027519610154464,3.0,0.0
0.1,1.0,32,1.0,guard_1.0,32,1.0,0.90625,0.90625,1.0,0.0,0.09375,0.7482932417469943,0.037840402015758653,3.0,0.0
0.1,1.0,128,0.0,estimated,32,1.0,0.375,0.375,0.9375,0.0,0.625,0.6736450953176445,-0.00657498409648694,3.0,0.0
0.1,1.0,128,0.5,guard_0.5,32,1.0,0.65625,0.65625,0.9375,0.0,0.34375,0.7055768668183051,0.005623220312300731,3.0,0.0
0.1,1.0,128,1.0,guard_1.0,32,1.0,0.875,0.875,0.96875,0.0,0.125,0.7380880443758964,0.01788265087145183,3.0,0.0
